PART-Article,Data
PART I - 1,"Name and territory of the Union.—(1) India, that is Bharat, shall bea Union of States.(2) The States and the territories thereof shall be as specified in the FirstSchedule.(3) The territory of India shall comprise—(a) the territories of the States;(b) the Union territories specified in the First Schedule; and(c) such other territories as may be acquired."
PART I - 2,"Admission or establishment of new States.—Parliament may by lawadmit into the Union, or establish, new States on such terms and conditions as itthinks fit."
PART I - 2A,"[Sikkim to be associated with the Union.] Rep. by the Constitution(Thirty- sixth Amendment) Act, 1975, s. 5 (w.e.f. 26-4-1975)."
PART I - 3,"Formation of new States and alteration of areas, boundaries ornames of existing States.—Parliament may by law—(a)form a new State by separation of territory from any State or byuniting two or more States or parts of States or by uniting any territory toa part of any State;(b) increase the area of any State;(c) diminish the area of any State;(d) alter the boundaries of any State;(e) alter the name of any State:Provided that no Bill for the purpose shall be introduced in either Houseof Parliament except on the recommendation of the President and unless, wherethe proposal contained in the Bill affects the area, boundaries or name of any ofthe States, the Bill has been referred by the President to the Legislature of thatState for expressing its views thereon within such period as may be specified inthe reference or within such further period as the President may allow and theperiod so specified or allowed has expired.23Explanation I.—In this article, in clauses (a) to (e), “State” includes aUnion territory, but in the proviso, “State” does not include a Union territory.Explanation II.—The power conferred on Parliament by clause (a)includes the power to form a new State or Union territory by uniting a part ofany State or Union territory to any other State or Union territory."
PART I - 4,"Laws made under articles 2 and 3 to provide for the amendmentof the First and the Fourth Schedules and supplemental, incidental andconsequential matters.—(1) Any law referred to in article 2 or article 3 shallcontain such provisions for the amendment of the First Schedule and the FourthSchedule as may be necessary to give effect to the provisions of the law andmay also contain such supplemental, incidental and consequential provisions(including provisions as to representation in Parliament and in the Legislatureor Legislatures of the State or States affected by such law) as Parliament maydeem necessary.(2) No such law as aforesaid shall be deemed to be an amendment of thisConstitution for the purposes of article 368."
PART II - 5,"Citizenship at the commencement of the Constitution.—At thecommencement of this Constitution, every person who has his domicile in theterritory of India and—(a) who was born in the territory of India; or(b) either of whose parents was born in the territory of India; or(c) who has been ordinarily resident in the territory of India fornot less than five years immediately preceding such commencement,shall be a citizen of India."
PART II - 6,"Rights of citizenship of certain persons who have migrated toIndia from Pakistan.—Notwithstanding anything in article 5, a person whohas migrated to the territory of India from the territory now included inPakistan shall be deemed to be a citizen of India at the commencement of thisConstitution if—(a) he or either of his parents or any of his grand-parents was bornin India as defined in the Government of India Act, 1935 (as originallyenacted); and(b)(i) in the case where such person has so migrated before thenineteenth day of July, 1948, he has been ordinarily resident in theterritory of India since the date of his migration, or(ii) in the case where such person has so migrated on or after thenineteenth day of July, 1948, he has been registered as a citizen of Indiaby an officer appointed in that behalf by the Government of theDominion of India on an application made by him therefore to suchofficer before the commencement of this Constitution in the form andmanner prescribed by that Government:Provided that no person shall be so registered unless he has been residentin the territory of India for at least six months immediately preceding the dateof his application.45"
PART II - 7,"Rights of citizeship of certain migrants to Pakistan.—Notwithstanding anything in articles 5 and 6, a person who has after the firstday of March, 1947, migrated from the territory of India to the territory nowincluded in Pakistan shall not be deemed to be a citizen of India:Provided that nothing in this article shall apply to a person who, afterhaving so migrated to the territory now included in Pakistan, has returned to theterritory of India under a permit for resettlement or permanent return issued byor under the authority of any law and every such person shall for the purposesof clause (b) of article 6 be deemed to have migrated to the territory of Indiaafter the nineteenth day of July, 1948."
PART II - 8,"Rights of citizenship of certain persons of Indian origin residingoutside India.—Notwithstanding anything in article 5, any person who oreither of whose parents or any of whose grand-parents was born in India asdefined in the Government of India Act, 1935 (as originally enacted), and whois ordinarily residing in any country outside India as so defined shall be deemedto be a citizen of India if he has been registered as a citizen of India by thediplomatic or consular representative of India in the country where he is for thetime being residing on an application made by him therefor to such diplomaticor consular representative, whether before or after the commencement of thisConstitution, in the form and manner prescribed by the Government of theDominion of India or the Government of India."
PART II - 9,"Persons voluntarily acquiring citizenship of a foreign State not tobe citizens.— No person shall be a citizen of India by virtue of article 5, or bedeemed to be a citizen of India by virtue of article 6 or article 8, if he hasvoluntarily acquired the citizenship of any foreign State."
PART II - 10,"Continuance of the rights of citizenship.—Every person who is oris deemed to be a citizen of India under any of the foregoing provisions of thisPart shall, subject to the provisions of any law that may be made by Parliament,continue to be such citizen."
PART II - 11,Parliament to regulate the right of citizenship by law.—Nothingin the foregoing provisions of this Part shall derogate from the power ofParliament to make any provision with respect to the acquisition andtermination of citizenship and all other matters relating to citizenship.
PART III - 12,"Definition.—In this Part, unless the context otherwise requires, “theState” includes the Government and Parliament of India and the Governmentand the Legislature of each of the States and all local or other authorities withinthe territory of India or under the control of the Government of India."
PART III - 13,"Laws inconsistent with or in derogation of the fundamentalrights.—(1) All laws in force in the territory of India immediately before thecommencement of this Constitution, in so far as they are inconsistent with theprovisions of this Part, shall, to the extent of such inconsistency, be void.(2) The State shall not make any law which takes away or abridges therights conferred by this Part and any law made in contravention of this clauseshall, to the extent of the contravention, be void.(3) In this article, unless the context otherwise requires,—(a) “law” includes any Ordinance, order, bye-law, rule, regulation,notification, custom or usage having in the territory of India the force oflaw;(b) “laws in force” includes laws passed or made by a Legislatureor other competent authority in the territory of India before thecommencement of this Constitution and not previously repealed,notwithstanding that any such law or any part thereof may not be then inoperation either at all or in particular areas.(4) Nothing in this article shall apply to any amendment of thisConstitution made under article 368.Right to Equality"
PART III - 14,Equality before law.—The State shall not deny to any personequality before the law or the equal protection of the laws within the territory ofIndia.
